#time	Mode	Power	Hset	Hac	Tset[C]	Tac[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]	R1[Ohm]	T1[C]	R2[Ohm]	T2[C]	R3[Ohm]	T3[C]	R4[Ohm]	T4[C]	R5[Ohm]	T5[C]
1552055517.7461987	normal	1	nan	nan	80.0	80.1	1312.969	81.06582928615762	1311.148	80.57870655645866	1309.69	80.20043659956946	9999999000.0	9999	1313.777	81.27034796645694	1084.766	21.763916821653766	1084.184	21.604240615950403	1084.668	21.735586616231558	1081.899	21.020457149866616	1084.724	21.755417734841558
1552055542.868353	normal	1	nan	nan	80.0	80.1	1313.711	81.25985951940902	1312.405	80.90012604716958	1310.744	80.4693891449765	9999999000.0	9999	1314.719	81.52312966487898	1084.821	21.771128184969257	1084.27	21.62896417504635	1084.743	21.759023405397784	1081.717	20.976426444231947	1084.688	21.737646986719483
1552055558.8461757	normal	1	nan	nan	80.0	80.1	1313.722	81.24255365495674	1313.324	81.14868403848186	1311.502	80.6691517672848	9999999000.0	9999	1314.907	81.56403807466404	1085.344	21.925918694718803	1084.534	21.632312171050216	1085.024	21.835258492405956	1082.027	20.802884157649714	1083.937	21.51719453871965
1552055574.415049	normal	1	nan	nan	80.0	80.1	1285.5	73.86675184249498	1287.753	74.5650956270706	1287.3	74.46225788982656	9999999000.0	9999	1271.16	70.48492743705674	1129.338	33.257696830102304	1128.234	33.2135045419609	1117.792	30.488411261190777	1247.105	64.30890725937707	1162.449	42.145271807075915
1552055589.9763277	normal	1	nan	nan	80.0	79.0	1299.3	77.489857834556	1301.083	77.95609123903341	1300.394	77.77954340232691	9999999000.0	9999	1302.27	78.27280093727313	1150.519	38.79282430562171	1180.672	46.68905463916826	1167.737	43.328914509614606	1294.583	76.27848367800061	1235.968	61.12240918793805
1552055605.5496948	normal	1	nan	nan	80.0	78.5	1302.955	78.44203962817801	1302.798	78.39435849680422	1302.266	78.25865444412648	9999999000.0	9999	1304.577	78.86360233626147	1174.375	44.9642112699612	1215.382	55.65872173001708	1207.516	53.640308758994706	1304.753	78.93513449694774	1273.865	70.90442715384461
1552055621.120994	normal	1	nan	nan	80.0	78.4	1304.894	78.9335623448269	1304.481	78.8379245042106	1303.883	78.68490974339284	9999999000.0	9999	1306.385	79.33841633739803	1194.752	50.22533232713158	1238.178	61.5600089180125	1230.587	59.58722832525382	1308.692	79.944611321906	1293.0	75.86405831353841
1552055636.5150526	normal	1	nan	nan	80.0	78.5	1306.773	79.44062036990363	1306.523	79.3751045989793	1305.829	79.19245352171083	9999999000.0	9999	1308.292	79.83479079825838	1212.517	54.87253893428942	1255.028	65.94572081567685	1247.328	63.9131982923941	1310.858	80.51343025478354	1302.983	78.46142665945627
1552055651.9090943	normal	1	nan	nan	80.0	78.6	1308.114	79.7876136566897	1307.932	79.73729211843647	1307.269	79.55960034757572	9999999000.0	9999	1309.63	80.1988638423768	1226.843	58.59203432098684	1266.615	68.95009176320536	1259.944	67.18411153206307	1312.285	80.88387079961649	1307.941	79.74698943829844
1552055667.686095	normal	1	nan	nan	80.0	78.9	1309.081	80.04159192251655	1308.733	79.9509018687013	1308.012	79.76140442608266	9999999000.0	9999	1310.46	80.40463929899761	1239.291	61.81232621182335	1275.767	71.34437111162697	1269.934	69.81044197016445	1313.142	81.11721996250117	1310.558	80.43190223659803
